index,units_sold,discount,placement,end_of_aisle,public_holiday,sales,price,male_ratio,avg_income,avg_income_delta,avg_income_quartile,temperature,week_years,competing_brand_6pk_price,competing_brand_discount
2015/03/22,62,FALSE,top-shelf,FALSE,FALSE,1302,21,0.544767514,81914.30294,1914.302945,3,22,2018/12/15,16.2,FALSE
2015/03/23,67,FALSE,top-shelf,FALSE,FALSE,1407,21,0.533725878,73850.38423,-6149.615773,1,35,2018/12/15,16.2,FALSE
2015/03/24,43,FALSE,top-shelf,FALSE,FALSE,903,21,0.649470778,90435.74398,10435.74398,4,22,2018/12/15,16.2,FALSE
2015/03/25,42,FALSE,top-shelf,FALSE,FALSE,882,21,0.581730212,67502.10919,-12497.89081,1,22,13 - 2015,16.2,FALSE
2015/03/26,31,FALSE,mid-shelf,FALSE,FALSE,651,21,0.338524825,59354.90117,-20645.09883,1,20,13 - 2015,16.2,FALSE
2015/03/27,48,FALSE,mid-shelf,FALSE,FALSE,1008,21,0.492581909,76633.52881,-3366.471189,2,19,13 - 2015,16.2,FALSE
2015/03/28,57,FALSE,mid-shelf,FALSE,FALSE,1197,21,0.397185534,75900.90146,-4099.098543,2,23,13 - 2015,16.2,FALSE
2015/03/29,61,FALSE,mid-shelf,FALSE,FALSE,1281,21,0.68072141,75124.38002,-4875.619979,2,29,13 - 2015,16.2,FALSE
2015/03/30,36,FALSE,mid-shelf,FALSE,FALSE,756,21,0.438891904,65703.92139,-14296.07861,1,22,13 - 2015,16.2,FALSE
2015/03/31,33,FALSE,mid-shelf,FALSE,FALSE,693,21,0.537188207,78181.9958,-1818.004204,2,18,13 - 2015,16.2,FALSE
2015/04/01,24,FALSE,mid-shelf,FALSE,FALSE,504,21,0.513531126,57328.29771,-22671.70229,1,18,14 - 2015,16.2,FALSE
2015/04/02,74,TRUE,mid-shelf,TRUE,FALSE,1398.6,18.9,0.50207996,76659.30994,-3340.690062,2,30,14 - 2015,16.2,FALSE
2015/04/03,-6,TRUE,mid-shelf,TRUE,FALSE,-113.4,18.9,0.542149963,94261.18055,14261.18055,4,26,14 - 2015,16.2,FALSE
2015/04/04,89,TRUE,mid-shelf,TRUE,TRUE,1682.1,18.9,0.383042641,77887.40916,-2112.590838,2,23,14 - 2015,16.2,FALSE
2015/04/05,89,TRUE,mid-shelf,TRUE,TRUE,1682.1,18.9,0.45375226,82698.01121,2698.011206,3,22,14 - 2015,16.2,FALSE
2015/04/06,76,TRUE,mid-shelf,TRUE,FALSE,1436.4,18.9,0.388929952,86480.28235,6480.282352,4,34,14 - 2015,16.2,FALSE
2015/04/07,54,TRUE,mid-shelf,TRUE,FALSE,1020.6,18.9,0.510011558,87414.19145,7414.191447,4,20,14 - 2015,16.2,FALSE
2015/04/08,62,TRUE,mid-shelf,TRUE,FALSE,1171.8,18.9,0.573803159,74513.2226,-5486.777405,1,25,15 - 2015,16.2,FALSE
2015/04/09,45,FALSE,bottom-shelf,FALSE,FALSE,945,21,0.634051986,76521.27739,-3478.722608,2,28,15 - 2015,16.2,FALSE
2015/04/10,42,FALSE,bottom-shelf,FALSE,FALSE,882,21,0.414785442,91122.03497,11122.03497,4,29,15 - 2015,16.2,FALSE
2015/04/11,54,FALSE,bottom-shelf,FALSE,FALSE,1134,21,0.553846404,84229.17544,4229.17544,3,27,15 - 2015,16.2,FALSE
2015/04/12,55,FALSE,bottom-shelf,FALSE,FALSE,1155,21,0.602641144,78588.12401,-1411.875988,2,26,15 - 2015,16.2,FALSE
2015/04/13,41,FALSE,bottom-shelf,FALSE,FALSE,861,21,0.522270656,79625.12904,-374.8709574,2,24,15 - 2015,16.2,FALSE
2015/04/14,35,FALSE,bottom-shelf,FALSE,FALSE,735,21,0.501446719,83043.7471,3043.747103,3,19,15 - 2015,16.2,FALSE
2015/04/15,38,FALSE,bottom-shelf,FALSE,FALSE,798,21,0.51447128,85904.90214,5904.902138,4,30,16 - 2015,16.2,FALSE
2015/04/16,44,FALSE,bottom-shelf,FALSE,FALSE,924,21,0.37248683,78175.95545,-1824.044553,2,32,16 - 2015,16.2,FALSE
2015/04/17,66,FALSE,bottom-shelf,FALSE,FALSE,1386,21,0.336288082,80270.86472,270.8647238,3,35,16 - 2015,16.2,FALSE
2015/04/18,44,FALSE,bottom-shelf,FALSE,FALSE,924,21,0.427835215,78561.45612,-1438.543877,2,22,16 - 2015,16.2,FALSE
2015/04/19,48,FALSE,bottom-shelf,FALSE,FALSE,1008,21,0.438168387,78920.17463,-1079.825373,2,32,16 - 2015,16.2,FALSE
2015/04/20,44,FALSE,bottom-shelf,FALSE,FALSE,924,21,0.602759452,82183.66576,2183.665763,3,30,16 - 2015,16.2,FALSE
2015/04/21,50,FALSE,bottom-shelf,FALSE,FALSE,1050,21,0.458812189,84003.39133,4003.391331,3,33,16 - 2015,16.2,FALSE
2015/04/22,24,FALSE,bottom-shelf,FALSE,FALSE,504,21,0.432432948,89798.85293,9798.852932,4,21,17 - 2015,16.2,FALSE
2015/04/23,46,TRUE,bottom-shelf,TRUE,FALSE,869.4,18.9,0.5043911,90863.6264,10863.6264,4,21,17 - 2015,16.2,FALSE
2015/04/24,83,TRUE,bottom-shelf,TRUE,FALSE,1568.7,18.9,0.54764078,77066.58624,-2933.41376,2,34,17 - 2015,16.2,FALSE
2015/04/25,73,TRUE,bottom-shelf,TRUE,FALSE,1379.7,18.9,0.588770634,81689.89134,1689.891344,3,29,17 - 2015,16.2,FALSE
2015/04/26,59,TRUE,bottom-shelf,TRUE,FALSE,1115.1,18.9,0.522173886,90811.36841,10811.36841,4,29,17 - 2015,16.2,FALSE
2015/04/27,45,TRUE,bottom-shelf,TRUE,FALSE,850.5,18.9,0.377411658,69135.33611,-10864.66389,1,21,17 - 2015,16.2,FALSE
2015/04/28,61,TRUE,bottom-shelf,TRUE,FALSE,1152.9,18.9,0.531182401,74260.23782,-5739.762185,1,33,17 - 2015,16.2,FALSE
2015/04/29,59,TRUE,bottom-shelf,TRUE,FALSE,1115.1,18.9,0.588292928,93013.5849,13013.5849,4,32,18 - 2015,16.2,FALSE
2015/04/30,53,FALSE,top-shelf,FALSE,FALSE,1113,21,0.419968714,77181.87578,-2818.124218,2,27,18 - 2015,16.2,FALSE
2015/05/01,64,FALSE,top-shelf,FALSE,FALSE,1344,21,0.611075498,81640.10489,1640.104894,3,32,18 - 2015,16.2,FALSE
2015/05/02,69,FALSE,top-shelf,FALSE,FALSE,1449,21,0.549820591,84218.24129,4218.24129,3,28,18 - 2015,16.2,FALSE
2015/05/03,69,FALSE,top-shelf,FALSE,FALSE,1449,21,0.612903625,87777.81871,7777.818707,4,34,18 - 2015,16.2,FALSE
2015/05/04,53,FALSE,top-shelf,FALSE,FALSE,1113,21,0.422494615,78325.54622,-1674.45378,2,27,18 - 2015,16.2,FALSE
2015/05/05,43,FALSE,top-shelf,FALSE,FALSE,903,21,0.590552719,75071.39637,-4928.603626,2,19,18 - 2015,16.2,FALSE
2015/05/06,35,FALSE,top-shelf,FALSE,FALSE,735,21,0.505819418,92536.22635,12536.22635,4,19,19 - 2015,16.2,FALSE
2015/05/07,47,FALSE,bottom-shelf,FALSE,FALSE,987,21,0.482098117,81400.18703,1400.187034,3,29,19 - 2015,16.2,FALSE
2015/05/08,36,FALSE,bottom-shelf,FALSE,FALSE,756,21,0.391098996,85754.60807,5754.608068,4,24,19 - 2015,16.2,FALSE
2015/05/09,51,FALSE,bottom-shelf,FALSE,FALSE,1071,21,0.542542338,79756.0259,-243.9740975,2,25,19 - 2015,16.2,FALSE
2015/05/10,45,FALSE,bottom-shelf,FALSE,FALSE,945,21,0.43968255,80256.61912,256.6191239,3,20,19 - 2015,16.2,FALSE
2015/05/11,36,FALSE,bottom-shelf,FALSE,FALSE,756,21,0.496084795,63650.37487,-16349.62513,1,29,19 - 2015,16.2,FALSE
2015/05/12,46,FALSE,bottom-shelf,FALSE,FALSE,966,21,0.483996091,80537.51944,537.5194411,3,28,19 - 2015,16.2,FALSE
2015/05/13,32,FALSE,bottom-shelf,FALSE,FALSE,672,21,0.453681495,82588.62225,2588.62225,3,27,20 - 2015,14,TRUE
2015/05/14,33,FALSE,mid-shelf,FALSE,FALSE,693,21,0.357919395,78227.6049,-1772.395098,2,25,20 - 2015,14,TRUE
2015/05/15,29,FALSE,mid-shelf,FALSE,FALSE,609,21,0.515067345,65357.4705,-14642.5295,1,22,20 - 2015,14,TRUE
2015/05/16,37,FALSE,mid-shelf,FALSE,FALSE,777,21,0.519228563,78309.78643,-1690.213574,2,23,20 - 2015,14,TRUE
2015/05/17,37,FALSE,mid-shelf,FALSE,FALSE,777,21,0.551799822,75453.83185,-4546.168147,2,21,20 - 2015,14,TRUE
2015/05/18,41,FALSE,mid-shelf,FALSE,FALSE,861,21,0.55062092,86399.42129,6399.421289,4,34,20 - 2015,14,TRUE
2015/05/19,21,FALSE,mid-shelf,FALSE,FALSE,441,21,0.478013355,84591.71983,4591.719834,3,18,20 - 2015,14,TRUE
2015/05/20,40,FALSE,mid-shelf,FALSE,FALSE,840,21,0.482843341,74357.95025,-5642.049751,1,27,21 - 2015,16.2,FALSE
2015/05/21,63,FALSE,bottom-shelf,FALSE,FALSE,1323,21,0.371034177,77372.70796,-2627.292037,2,35,21 - 2015,16.2,FALSE
2015/05/22,55,FALSE,bottom-shelf,FALSE,FALSE,1155,21,0.594734362,79241.37291,-758.627093,2,31,21 - 2015,16.2,FALSE
2015/05/23,42,FALSE,bottom-shelf,FALSE,FALSE,882,21,0.678005478,97291.08529,17291.08529,4,25,21 - 2015,16.2,FALSE
2015/05/24,37,FALSE,bottom-shelf,FALSE,FALSE,777,21,0.562910182,77857.13807,-2142.861926,2,18,21 - 2015,16.2,FALSE
2015/05/25,44,FALSE,bottom-shelf,FALSE,FALSE,924,21,0.462408938,89730.80967,9730.80967,4,33,21 - 2015,16.2,FALSE
2015/05/26,44,FALSE,bottom-shelf,FALSE,FALSE,924,21,0.41986222,80971.90234,971.9023441,3,25,21 - 2015,16.2,FALSE
2015/05/27,42,FALSE,bottom-shelf,FALSE,FALSE,882,21,0.552078801,70147.76536,-9852.234639,1,32,22 - 2015,16.2,FALSE
2015/05/28,35,FALSE,top-shelf,FALSE,FALSE,735,21,0.547228158,85754.62626,5754.626256,4,19,22 - 2015,16.2,FALSE
2015/05/29,40,FALSE,top-shelf,FALSE,FALSE,840,21,0.443724469,65657.9869,-14342.0131,1,20,22 - 2015,16.2,FALSE
2015/05/30,52,FALSE,top-shelf,FALSE,FALSE,1092,21,0.437250392,68119.19059,-11880.80941,1,26,22 - 2015,16.2,FALSE
2015/05/31,61,FALSE,top-shelf,FALSE,FALSE,1281,21,0.695222516,72273.85001,-7726.14999,1,32,22 - 2015,16.2,FALSE
2015/06/01,31,FALSE,top-shelf,FALSE,FALSE,651,21,0.712753377,85559.25997,5559.259969,4,18,22 - 2015,16.2,FALSE
2015/06/02,46,FALSE,top-shelf,FALSE,FALSE,966,21,0.403178137,88584.23205,8584.232047,4,29,22 - 2015,16.2,FALSE
2015/06/03,58,FALSE,top-shelf,FALSE,FALSE,1218,21,0.548045393,82427.72375,2427.723752,3,29,23 - 2015,16.2,FALSE
2015/06/04,69,TRUE,mid-shelf,TRUE,FALSE,1304.1,18.9,0.480004506,82264.99606,2264.996058,3,22,23 - 2015,16.2,FALSE
2015/06/05,88,TRUE,mid-shelf,TRUE,FALSE,1663.2,18.9,0.416347565,81117.96652,1117.966516,3,33,23 - 2015,16.2,FALSE
2015/06/06,73,TRUE,mid-shelf,TRUE,FALSE,1379.7,18.9,0.463062107,93946.74221,13946.74221,4,27,23 - 2015,16.2,FALSE
2015/06/07,74,TRUE,mid-shelf,TRUE,FALSE,1398.6,18.9,0.686192004,86782.09559,6782.095587,4,29,23 - 2015,16.2,FALSE
2015/06/08,82,TRUE,mid-shelf,TRUE,TRUE,1549.8,18.9,0.438984162,78894.16772,-1105.832279,2,27,23 - 2015,16.2,FALSE
2015/06/09,70,TRUE,mid-shelf,TRUE,FALSE,1323,18.9,0.459388088,75837.29705,-4162.702955,2,27,23 - 2015,16.2,FALSE
2015/06/10,61,TRUE,mid-shelf,TRUE,FALSE,1152.9,18.9,0.45479392,72269.93818,-7730.061819,1,25,24 - 2015,16.2,FALSE
2015/06/11,54,FALSE,mid-shelf,FALSE,FALSE,1134,21,0.537398847,91162.94693,11162.94693,4,34,24 - 2015,16.2,FALSE
2015/06/12,46,FALSE,mid-shelf,FALSE,FALSE,966,21,0.597244656,72626.92837,-7373.071632,1,22,24 - 2015,16.2,FALSE
2015/06/13,53,FALSE,mid-shelf,FALSE,FALSE,1113,21,0.441381237,77680.43147,-2319.568527,2,21,24 - 2015,16.2,FALSE
2015/06/14,83,FALSE,mid-shelf,FALSE,FALSE,1743,21,0.58536891,84793.52935,4793.529353,3,35,24 - 2015,16.2,FALSE
2015/06/15,40,FALSE,mid-shelf,FALSE,FALSE,840,21,0.43973872,87645.60885,7645.608852,4,27,24 - 2015,16.2,FALSE
2015/06/16,60,FALSE,mid-shelf,FALSE,FALSE,1260,21,0.280576426,90766.44356,10766.44356,4,35,24 - 2015,16.2,FALSE
2015/06/17,42,FALSE,mid-shelf,FALSE,FALSE,882,21,0.368147771,74626.28018,-5373.71982,1,30,25 - 2015,16.2,FALSE
2015/06/18,55,FALSE,top-shelf,FALSE,FALSE,1155,21,0.401511758,70768.09357,-9231.906434,1,33,25 - 2015,16.2,FALSE
2015/06/19,56,FALSE,top-shelf,FALSE,FALSE,1176,21,0.527358414,60446.45313,-19553.54687,1,30,25 - 2015,16.2,FALSE
2015/06/20,59,FALSE,top-shelf,FALSE,FALSE,1239,21,0.536469161,75819.57201,-4180.427985,2,24,25 - 2015,16.2,FALSE
2015/06/21,69,FALSE,top-shelf,FALSE,FALSE,1449,21,0.602547225,80172.86441,172.8644072,3,30,25 - 2015,16.2,FALSE
2015/06/22,53,FALSE,top-shelf,FALSE,FALSE,1113,21,0.61985473,77750.23741,-2249.762594,2,25,25 - 2015,16.2,FALSE
2015/06/23,55,FALSE,top-shelf,FALSE,FALSE,1155,21,0.429071745,80254.61049,254.6104856,3,25,25 - 2015,16.2,FALSE
2015/06/24,52,FALSE,top-shelf,FALSE,FALSE,1092,21,0.499855887,80407.00525,407.0052533,3,22,26 - 2015,16.2,FALSE
2015/06/25,53,FALSE,bottom-shelf,FALSE,FALSE,1113,21,0.479865199,80064.79741,64.79741041,2,33,26 - 2015,16.2,FALSE
2015/06/26,39,FALSE,bottom-shelf,FALSE,FALSE,819,21,0.629681117,71998.02102,-8001.978979,1,25,26 - 2015,16.2,FALSE
2015/06/27,44,FALSE,bottom-shelf,FALSE,FALSE,924,21,0.652009386,61448.30904,-18551.69096,1,27,26 - 2015,16.2,FALSE
2015/06/28,40,FALSE,bottom-shelf,FALSE,FALSE,840,21,0.707103121,62699.06564,-17300.93436,1,24,26 - 2015,16.2,FALSE
2015/06/29,34,FALSE,bottom-shelf,FALSE,FALSE,714,21,0.547287702,66006.74411,-13993.25589,1,25,26 - 2015,16.2,FALSE
2015/06/30,35,FALSE,bottom-shelf,FALSE,FALSE,735,21,0.56162117,86883.92421,6883.924206,4,26,26 - 2015,16.2,FALSE
2015/07/01,41,FALSE,bottom-shelf,FALSE,FALSE,861,21,0.564216561,76600.61877,-3399.381232,2,24,27 - 2015,16.2,FALSE
2015/07/02,56,FALSE,top-shelf,FALSE,FALSE,1176,21,0.4877227,82383.2253,2383.225303,3,26,27 - 2015,16.2,FALSE
2015/07/03,73,FALSE,top-shelf,FALSE,FALSE,1533,21,0.662780306,80139.79058,139.7905817,3,32,27 - 2015,16.2,FALSE
2015/07/04,74,FALSE,top-shelf,FALSE,FALSE,1554,21,0.533694854,84679.13466,4679.134664,3,33,27 - 2015,16.2,FALSE
